month,Estimate,Se,Norm_L,Norm_U,Basic_L,Basic_U,Perc_L,Perc_U
01,61,0,61,61,61,61,61,61
02,55,0,55,55,55,55,55,55
03,61,0,61,61,61,61,61,61
04,59,0,59,59,59,59,59,59
05,49,0,49,49,49,49,49,49
06,30,0,30,30,30,30,30,30
07,26,0,26,26,26,26,26,26
08,32,0.1829,31.6764,32.3931,32,33,31,32
09,34,0.097,33.8193,34.1997,34,34,34,34
10,46,0.3386,45.4684,46.7956,46,47,45,46
11,55,0.4962,54.465,56.41,55,56,54,55
12,49,0.4894,47.6438,49.5622,48,49,49,50
