month,Estimate,Se,Norm_L,Norm_U,Basic_L,Basic_U,Perc_L,Perc_U
01,1.2,0,1.2,1.2,1.2,1.2,1.2,1.2
02,1.2,0.0375,1.1435,1.2905,1.2,1.3,1.1,1.2
03,1.2,0,1.2,1.2,1.2,1.2,1.2,1.2
04,1.1,0,1.1,1.1,1.1,1.1,1.1,1.1
05,1.1,0.0352,1.0455,1.1834,1.1,1.2,1,1.1
06,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9
07,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9
08,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9
09,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9
10,1,0,1,1,1,1,1,1
11,1.3,0,1.3,1.3,1.3,1.3,1.3,1.3
12,1.2,0,1.2,1.2,1.2,1.2,1.2,1.2
