"date","sitename","county","aqi","status","so2","co","o3","pm10","pm2.5","no2","nox","no","windspeed","winddirec","after_reform"
2017-04-15,"Zhongli","Taoyuan City",31,"Good",2.5,0.78,20,40,8,23,44,21,1.9,308,FALSE
2017-04-15,"Hualien","Hualien County",42,"Good",1.1,0.19,10,36,16,7.9,10,2.4,2.1,235,FALSE
2017-04-15,"Douliu","Yunlin County",159,NA,2.2,0.36,32,98,62,8.3,9.3,1.1,0.9,20,FALSE
2017-04-15,"Pingtung","Pingtung County",72,"Moderate",2.4,0.6,16,64,39,12,14,1.9,2.1,348,FALSE
2017-04-15,"Meinong","Kaohsiung City",110,"Unhealthy for Sensitive Groups",0.9,0.33,9.6,74,37,6.9,7.3,0.4,0.8,96,TRUE
2017-04-15,"Fengyuan","Taichung City",117,NA,2.6,0.33,42,62,46,15,14,-0.2,0.8,129,FALSE
2017-04-15,"Renwu","Kaohsiung City",54,"Moderate",4.5,0.34,10,54,9,20,24,3.9,0.6,149,FALSE
2017-04-15,"Tamsui","New Taipei City",68,"Moderate",2,0.73,12,45,21,26,28,1.5,NA,NA,FALSE
2017-04-15,"Fengyuan","Taichung City",100,"Moderate",2.7,0.34,58,75,33,17,18,1.7,2.1,313,TRUE
2017-04-15,"Shilin","Taipei City",81,"Moderate",2,0.37,52,71,33,8.6,10,1.6,3,117,FALSE
2017-04-15,"Erlin","Changhua County",92,"Moderate",1.5,0.19,57,92,24,3.5,4.1,0.6,3.5,253,FALSE
2017-04-15,"Qianjin","Kaohsiung City",54,"Moderate",4.1,0.24,28,87,14,18,22,4,2.4,201,FALSE
2017-04-15,"Nanzi","Kaohsiung City",157,NA,3,0.59,22,113,59,17,23,5.5,1.6,326,FALSE
2017-04-15,"Zhongli","Taoyuan City",49,"Good",3.1,0.74,28,46,15,35,49,14,1.7,103,FALSE
2017-04-15,"Nanzi","Kaohsiung City",152,NA,3.8,0.45,25,136,62,17,18,1.1,1.3,51,FALSE
2017-04-15,"Fengshan","Kaohsiung City",119,NA,6.2,0.57,8.7,92,42,26,28,1.8,1.5,257,FALSE
2017-04-15,"Puzi","Chiayi County",64,"Moderate",3.5,0.25,52,53,24,3.5,4.3,0.8,2.9,313,FALSE
2017-04-15,"Xiaogang","Kaohsiung City",98,"Moderate",NA,NA,58,161,41,NA,NA,NA,2.1,17,FALSE
2017-04-15,"Lunbei","Yunlin County",105,NA,4.6,0.53,38,78,41,18,19,0.7,5.3,85,FALSE
2017-04-15,"Taitung","Taitung County",24,"Good",1.3,0.28,26,9,3,5.9,7.4,1.5,2.1,269,FALSE
2017-04-15,"Shanhua","Tainan City",68,"Moderate",4.3,0.22,72,46,24,6.4,7.4,1,2.7,350,FALSE
2017-04-15,"Xindian","New Taipei City",19,"Good",1.4,0.08,24,10,5,2.3,3.3,1,1.1,79,FALSE
2017-04-15,"Pingzhen","Taoyuan City",34,"Good",2.1,0.18,42,63,6,8.6,10,1.8,2.6,273,FALSE
2017-04-15,"Dayuan","Taoyuan City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2017-04-15,"Guting","Taipei City",72,"Moderate",1.7,1.42,3.1,34,20,44,59,15,1.4,190,FALSE
2017-04-15,"Mailiao","Yunlin County",87,"Moderate",2.5,0.11,30,36,17,5.1,6.8,1.7,3.1,353,FALSE
2017-04-15,"Erlin","Changhua County",40,"Good",2.9,0.19,29,45,16,6.2,7.1,0.9,3.6,54,FALSE
2017-04-15,"Sanchong","New Taipei City",64,"Moderate",6.6,1.89,NA,58,22,54,136,83,NA,NA,FALSE
2017-04-15,"Xizhi","New Taipei City",99,"Moderate",2.9,0.48,48,76,35,12,13,1,2.9,47,FALSE
2017-04-15,"Puli","Nantou County",98,"Moderate",2.2,0.42,27,49,31,17,18,0.7,0.9,271,FALSE
2017-04-15,"Daliao","Kaohsiung City",32,"Good",1.4,0.04,17,36,NA,2.2,4.7,2.6,3.3,168,FALSE
2017-04-15,"Linyuan","Kaohsiung City",97,"Moderate",4.3,0.32,64,39,39,5,5.2,0.3,2,255,FALSE
2017-04-15,"Puzi","Chiayi County",88,"Moderate",4.1,0.39,36,67,31,8.6,9.2,0.6,2.5,80,FALSE
2017-04-15,"Lunbei","Yunlin County",111,NA,2.3,0.39,6.4,101,31,13,15,1.6,0.5,60,FALSE
2017-04-15,"Changhua","Changhua County",45,"Good",1.8,0.22,52,34,16,3.2,3.8,0.6,8.1,11,FALSE
2017-04-15,"Shilin","Taipei City",34,"Good",1.1,0.16,42,31,NA,4.5,5,0.5,1.5,177,FALSE
2017-04-15,"Hsinchu","Hsinchu City",29,"Good",1.9,0.18,9.5,12,3,7.7,9.2,1.5,6.5,61,FALSE
2017-04-15,"Shilin","Taipei City",31,"Good",4.5,0.51,7.5,19,6,25,38,13,0.8,172,FALSE
2017-04-15,"Cailiao","New Taipei City",57,"Moderate",4.1,0.49,6.6,37,29,24,27,2.4,1.1,207,FALSE
2017-04-15,"Xindian","New Taipei City",49,"Good",1.3,0.4,30,23,11,16,19,3.2,2,99,FALSE
2017-04-15,"Daliao","Kaohsiung City",57,"Moderate",1.8,0.16,36,44,7,4.8,6.8,2,1.4,174,FALSE
2017-04-15,"Qiaotou","Kaohsiung City",58,"Moderate",4.4,0.13,37,29,17,7.6,10,2.7,3.8,243,FALSE
2017-04-15,"Chaozhou","Pingtung County",44,"Good",3.4,0.2,38,36,13,7.5,7.9,0.5,3.4,249,FALSE
2017-04-15,"Lunbei","Yunlin County",18,"Good",1.3,0.12,15,19,4,2.9,4.3,1.4,4,190,FALSE
2017-04-15,"Matsu","Lienchiang County",25,"Good",2.9,0.36,23,19,8,5,6.8,1.7,3.7,30,FALSE
2017-04-15,"Fengshan","Kaohsiung City",89,"Moderate",3.4,0.53,20,89,18,19,27,7.9,1.7,5.5,TRUE
2017-04-15,"Kinmen","Kinmen County",157,NA,5.4,0.39,48,110,54,13,15,2.3,1.3,172,FALSE
2017-04-15,"Hengchun","Pingtung County",30,"Good",2.1,0.08,28,26,10,1.2,1.9,0.8,5.7,276,FALSE
2017-04-15,"Meinong","Kaohsiung City",91,"Moderate",2.3,0.39,17,74,38,10,15,4.8,1.2,137,FALSE
2017-04-15,"Puli","Nantou County",97,"Moderate",1.8,0.54,17,52,35,16,19,3.6,1.6,304,FALSE
2017-04-15,"Mailiao","Yunlin County",73,"Moderate",2.5,0.2,34,69,20,5.4,6.3,0.8,1.8,45,FALSE
2017-04-15,"Hsinchu","Hsinchu City",22,"Good",1.3,0.42,12,18,8,23,25,1.9,0.9,50,FALSE
2017-04-15,"Tainan","Tainan City",80,"Moderate",3.8,0.32,63,61,35,7.8,9.1,1.3,2.7,218,FALSE
2017-04-15,"Linyuan","Kaohsiung City",129,NA,2.8,0.48,77,48,21,10,12,1.4,1.4,241,FALSE
2017-04-15,"Taixi","Yunlin County",55,"Moderate",2.8,0.09,19,25,10,3.7,6.3,2.6,2.2,308,FALSE
2017-04-15,"Cailiao","New Taipei City",30,"Good",2.8,0.3,32,34,5,16,20,3.2,3.2,82,FALSE
2017-04-15,"Mailiao","Yunlin County",60,"Moderate",3,0.29,24,58,23,9.7,13,3.3,3.7,4.9,FALSE
2017-04-15,"Sanyi","Miaoli County",80,"Moderate",1.4,0.24,58,46,29,8.2,9,0.8,2.7,37,FALSE
2017-04-15,"Pingtung","Pingtung County",112,NA,2.8,0.29,36,64,34,6.8,9.3,2.6,2.1,289,FALSE
2017-04-15,"Matsu","Lienchiang County",100,"Moderate",5.9,0.43,45,67,37,NA,NA,NA,2.9,166,FALSE
2017-04-15,"Cailiao","New Taipei City",26,"Good",1.9,0.48,23,23,5,19,22,2.8,4.1,107,TRUE
2017-04-15,"Xizhi","New Taipei City",122,NA,5,0.34,43,48,26,17,19,1.5,1.5,41,FALSE
2017-04-15,"Fuxing","Kaohsiung City",36,"Good",9.7,0.59,12,36,19,20,29,8.9,1.1,255,FALSE
2017-04-15,"Xianxi","Changhua County",55,"Moderate",NA,NA,NA,53,17,28,36,8.3,0.9,98,TRUE
2017-04-15,"Taitung","Taitung County",13,"Good",1.5,0.14,18,4,4,2.3,5.6,3.2,2.2,69,FALSE
2017-04-15,"Toufen","Miaoli County",68,"Moderate",0.9,0.25,24,32,19,4.9,6.9,2,1.8,332,FALSE
2017-04-15,"Fuxing","Kaohsiung City",82,"Moderate",7.5,0.87,7.9,107,34,36,40,4.2,0.7,142,FALSE
2017-04-15,"Chiayi","Chiayi City",24,"Good",1.6,0.22,13,12,7,9,11,1.7,2.1,100,FALSE
2017-04-15,"Taoyuan","Taoyuan City",56,"Moderate",7.1,0.39,26,34,16,14,17,2.5,1.5,70,TRUE
2017-04-15,"Zhushan","Nantou County",65,"Moderate",1.3,0.3,9,50,21,10,11,0.8,2.7,155,FALSE
2017-04-15,"Xingang","Chiayi County",107,NA,4.2,0.29,94,71,38,7.2,8.4,1.3,2.5,298,FALSE
2017-04-15,"Mailiao","Yunlin County",67,"Moderate",4.9,0.56,3.8,60,26,25,27,1.5,1.5,86,FALSE
2017-04-15,"Wanli","New Taipei City",77,"Moderate",2.6,0.37,45,74,34,2.7,3.6,1,0.5,22,TRUE
2017-04-15,"Pingtung","Pingtung County",124,NA,1.4,0.47,31,59,41,12,16,3.3,2.9,33,FALSE
2017-04-15,"Guanshan","Taitung County",61,"Moderate",1,NA,33,159,5,2.7,2.7,0,3.6,19,TRUE
2017-04-15,"Qianzhen","Kaohsiung City",48,"Good",15,0.32,6,47,14,22,42,20,1.6,158,FALSE
2017-04-15,"Sanyi","Miaoli County",71,"Moderate",1.4,0.4,41,24,17,9.1,9.7,0.6,4.9,42,FALSE
2017-04-15,"Hsinchu","Hsinchu City",85,"Moderate",3.7,0.49,22,62,29,22,27,4.9,1,313,FALSE
2017-04-15,"Fuxing","Kaohsiung City",169,"Unhealthy",5.4,1.47,10,150,89,36,49,12,0.8,217,TRUE
2017-04-15,"Puzi","Chiayi County",72,"Moderate",3,0.2,45,67,20,5.1,7.1,2,2.7,281,FALSE
2017-04-15,"Daliao","Kaohsiung City",41,"Good",1.4,0.05,NA,NA,NA,3.6,5.2,1.6,3.2,200,FALSE
2017-04-15,"Puzi","Chiayi County",41,"Good",2.1,0.22,5.8,37,12,11,12,1.4,0.9,152,FALSE
2017-04-15,"Yangming","Taipei City",36,"Good",1.7,0.13,39,4,NA,0.8,1.3,0.6,NA,NA,FALSE
2017-04-15,"Erlin","Changhua County",72,"Moderate",5,0.42,29,36,12,11,12,0.9,3.5,81,FALSE
2017-04-15,"Douliu","Yunlin County",152,NA,2.9,0.4,53,95,57,15,16,1.4,1.6,25,FALSE
2017-04-15,"Dayuan","Taoyuan City",113,NA,4.8,0.57,21,76,34,26,32,6.4,1,24,FALSE
2017-04-15,"Miaoli","Miaoli County",73,"Moderate",4.3,0.45,81,70,35,11,12,1.6,2.6,263,FALSE
2017-04-15,"Douliu","Yunlin County",83,"Moderate",1.3,0.22,35,24,20,6.3,6.8,0.5,1.1,68,FALSE
2017-04-15,"Annan","Tainan City",56,"Moderate",2.5,0.23,71,53,26,6.6,8.1,1.4,4.8,260,FALSE
2017-04-15,"Matsu","Lienchiang County",106,NA,3.8,0.3,22,88,45,10,10,0.3,0.7,147,FALSE
2017-04-15,"Nantou","Nantou County",152,NA,1.5,0.36,25,91,58,15,15,0.7,2.7,168,FALSE
2017-04-15,"Guanyin","Taoyuan City",43,"Good",3.4,0.15,26,48,NA,9.5,13,3.6,2.3,303,FALSE
2017-04-15,"Erlin","Changhua County",43,"Good",0.4,0.12,34,25,11,2,2.6,0.7,1.7,315,FALSE
2017-04-15,"Yonghe","New Taipei City",82,"Moderate",3.6,1.64,15,51,28,44,77,34,1.3,31,FALSE
2017-04-15,"Zuoying","Kaohsiung City",90,"Moderate",3.5,0.5,6.5,58,47,25,27,1.7,2,2.9,TRUE
2017-04-15,"Zhongming","Taichung City",91,"Moderate",3,0.55,24,65,39,24,26,2.6,1.3,62,FALSE
2017-04-15,"Zhongming","Taichung City",NA,NA,1.6,0.23,32,33,19,11,15,3.7,3.1,12,TRUE
2017-04-15,"Puzi","Chiayi County",81,"Moderate",2.6,0.27,49,158,24,4.6,6.5,1.8,4.4,346,TRUE
2017-04-15,"Magong","Penghu County",63,"Moderate",1.7,0.18,52,44,19,1.1,2.4,1.3,6.4,24,FALSE
2017-04-15,"Shanhua","Tainan City",115,NA,1.2,0.33,61,117,32,10,11,0.7,3.4,325,FALSE
2017-04-15,"Guting","Taipei City",27,"Good",1.3,0.24,10,40,4,5.8,7.9,2,1.2,191,FALSE
2017-04-15,"Linyuan","Kaohsiung City",60,"Moderate",5.6,0.41,9.8,43,13,19,26,6.9,2.3,34,FALSE
2017-04-15,"Meinong","Kaohsiung City",109,NA,2.2,0.53,17,64,42,13,17,4.9,1.2,156,FALSE
