"date","sitename","county","aqi","status","so2","co","o3","pm10","pm2.5","no2","nox","no","windspeed","winddirec","after_reform"
2023-04-15,"Sanchong","New Taipei City",52,"Moderate",1.1,0.67,14.6,15,7,32.5,43.2,10.7,NA,NA,TRUE
2023-04-15,"Matsu","Lienchiang County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
2023-04-15,"Meinong","Kaohsiung City",76,"Moderate",1.5,0.36,68.3,49,36,8.8,9.3,0.5,2,246,TRUE
2023-04-15,"Chiayi","Chiayi City",52,"Moderate",1.8,0.27,18.5,24,14,9,9.9,0.8,2.2,359,TRUE
2023-04-15,"Qianjin","Kaohsiung City",24,"Good",1,0.21,10.8,11,6,8.3,9.9,1.5,2.3,338,TRUE
2023-04-15,"Kaohsiung (Hunei)","Kaohsiung City",16,"Good",0.6,0.08,22.1,5,2,1,2.2,1.2,2.7,277,TRUE
2023-04-15,"Daliao","Kaohsiung City",76,"Moderate",4.7,0.33,51.3,40,12,18.7,22,3.2,2,281,TRUE
2023-04-15,"Wanli","New Taipei City",12,"Good",0.3,0.1,5.7,17,7,2.6,3.3,0.6,0.8,181,TRUE
2023-04-15,"Tainan","Tainan City",29,"Good",0.3,0.26,25.8,NA,6,4.9,5.1,0.2,1.1,279,TRUE
2023-04-15,"Pingzhen","Taoyuan City",35,"Good",0.9,0.49,25.5,21,6,21.8,25.1,3.2,2.4,62,TRUE
2023-04-15,"Taixi","Yunlin County",18,"Good",0.8,0.12,13.4,10,1,3.7,4.5,0.8,0.4,143,TRUE
2023-04-15,"Dacheng","Changhua County",35,"Good",0.2,0.11,33.6,12,3,3.7,4.3,0.6,1.4,79,TRUE
2023-04-15,"Changhua (Yuanlin)","Changhua County",95,"Moderate",4.4,0.39,73.7,60,29,8.2,9.4,1.1,1.9,349,TRUE
2023-04-15,"Miaoli","Miaoli County",28,"Good",1.1,0.19,32.6,20,8,4.4,7,2.6,5,227,TRUE
2023-04-15,"Longtan","Taoyuan City",27,"Good",0,0.27,29.2,1,0,5.3,5.7,0.3,5.4,50,TRUE
2023-04-15,"Hsinchu","Hsinchu City",65,"Moderate",0.7,0.27,33.7,41,21,10.7,11.2,0.4,2.2,38,TRUE
2023-04-15,"Kinmen","Kinmen County",67,"Moderate",NA,NA,NA,33,17,NA,NA,NA,1.9,20,TRUE
2023-04-15,"Guting","Taipei City",15,"Good",0.1,0.09,15.4,24,2,9.4,21.1,11.6,3.5,74,TRUE
2023-04-15,"Shalu","Taichung City",27,"Good",0.6,0.17,44.8,26,16,NA,NA,NA,3.2,227,TRUE
2023-04-15,"Xinying","Tainan City",82,"Moderate",2.2,0.27,34,63,19,12.9,14.1,1.2,1.8,28,TRUE
2023-04-15,"Longtan","Taoyuan City",49,"Good",0.8,0.25,38.4,24,8,8.8,10.2,1.3,2.7,53,TRUE
2023-04-15,"Zhongli","Taoyuan City",37,"Good",0.6,0.52,23.1,8,9,22.4,36.4,13.9,1.3,20,TRUE
2023-04-15,"Zhudong","Hsinchu County",79,"Moderate",2.2,0.49,90.8,70,36,14,15.4,1.4,1.1,303,TRUE
2023-04-15,"Qiaotou","Kaohsiung City",17,"Good",2.9,0.22,4.9,9,2,10.4,11.8,1.4,1,296,TRUE
2023-04-15,"Shilin","Taipei City",43,"Good",0.3,0.46,2.6,26,11,15.6,19.2,3.6,0.9,129,TRUE
2023-04-15,"Xianxi","Changhua County",44,"Good",1.3,0.11,31.3,17,8,0.5,1.4,0.8,5.2,209,TRUE
2023-04-15,"Cailiao","New Taipei City",31,"Good",1.4,0.22,36.7,10,3,5.3,6.8,1.5,2,86,TRUE
2023-04-15,"Chaozhou","Pingtung County",39,"Good",0.5,0.16,1.9,31,10,5.7,6.4,0.7,0.5,54,TRUE
2023-04-15,"Qianjin","Kaohsiung City",53,"Moderate",1.7,0.35,14.3,28,16,10.5,12.1,1.5,0.4,21,TRUE
2023-04-15,"Renwu","Kaohsiung City",80,"Moderate",1.7,0.26,62.4,29,20,6.5,7.7,1.2,2.6,275,TRUE
2023-04-15,"Hsinchu","Hsinchu City",34,"Good",1.4,0.25,42.2,23,7,8.6,9.2,0.5,5.4,33,TRUE
2023-04-15,"Erlin","Changhua County",151,"Unhealthy",2.5,0.44,34.3,82,45,8.1,9.6,1.5,1.1,111,TRUE
2023-04-15,"Miaoli","Miaoli County",77,"Moderate",1.4,0.31,26.7,35,25,7.7,9.2,1.5,0.3,164,TRUE
2023-04-15,"Tainan","Tainan City",92,"Moderate",1,0.64,37.7,56,23,14.8,20.9,6,1,61,TRUE
2023-04-15,"Qianjin","Kaohsiung City",34,"Good",0.7,0.39,33.8,27,6,6.4,7.4,0.9,4.6,309,TRUE
2023-04-15,"Xianxi","Changhua County",45,"Good",1.6,0.31,32.3,38,14,7.3,9.4,2.1,4.8,21,TRUE
2023-04-15,"Changhua (Yuanlin)","Changhua County",90,"Moderate",1.6,0.56,35.5,55,29,14.1,15.5,1.3,0.3,318,TRUE
2023-04-15,"Changhua (Yuanlin)","Changhua County",56,"Moderate",3.4,0.37,47,30,18,8.2,10.1,1.9,0.6,331,TRUE
2023-04-15,"Yonghe","New Taipei City",41,"Good",1.1,0.33,52.2,28,10,7.8,11.3,3.4,3.1,83,TRUE
2023-04-15,"Zhudong","Hsinchu County",33,"Good",0.4,0.22,45.2,8,6,3.1,4.3,1.2,2.4,357,TRUE
2023-04-15,"Xizhi","New Taipei City",31,"Good",0.4,0.25,35.3,8,2,11.4,12.7,1.3,1.6,41,TRUE
2023-04-15,"Qiaotou","Kaohsiung City",80,"Moderate",1.8,0.31,48,52,21,15,19.5,4.4,3.3,267,TRUE
2023-04-15,"Taitung","Taitung County",34,"Good",0.8,0.21,43.1,24,5,4.6,7,2.3,1.7,67,TRUE
2023-04-15,"Xianxi","Changhua County",75,"Moderate",3.1,0.38,38,39,26,15.9,17,1.1,1.6,14,TRUE
2023-04-15,"Xinzhuang","New Taipei City",49,"Good",0.3,0.18,36.4,29,12,5.8,11.3,5.5,2.8,57,TRUE
2023-04-15,"Hengchun","Pingtung County",35,"Good",1,0.13,41.6,0,0,0.9,1,0.1,4.7,26,TRUE
2023-04-15,"Nantou","Nantou County",59,"Moderate",0.6,0.22,16.2,32,13,5.5,6.1,0.6,1,222,TRUE
2023-04-15,"Dongshan","Yilan County",40,"Good",0.8,0.26,27.3,33,14,4.5,5,0.4,0.2,275,TRUE
2023-04-15,"Matsu","Lienchiang County",69,"Moderate",2.8,0.47,47.4,44,27,9.1,9.8,0.6,3.5,328,TRUE
2023-04-15,"Hsinchu","Hsinchu City",60,"Moderate",0.6,0.37,58.8,43,19,9.8,12.1,2.2,3,296,TRUE
2023-04-15,"Pingtung","Pingtung County",126,"Unhealthy for Sensitive Groups",2.5,0.66,50.1,71,40,20,20.8,0.7,NA,NA,TRUE
2023-04-15,"Guanyin","Taoyuan City",38,"Good",0.6,0.05,25.6,29,11,1.6,2.8,1.2,8.2,245,TRUE
2023-04-15,"Tainan (Madou)","Tainan City",35,"Good",0.7,0.23,19.1,15,5,11.9,14.1,2.2,2.2,358,TRUE
2023-04-15,"Hsinchu","Hsinchu City",26,"Good",2,0.2,24.9,15,6,12.2,13.1,0.9,2,27,TRUE
2023-04-15,"Datong","Taipei City",80,"Moderate",1.2,0.68,NA,55,NA,27.5,36.8,9.3,NA,NA,TRUE
2023-04-15,"Xiaogang","Kaohsiung City",71,"Moderate",1.1,0.25,10.1,30,18,13.7,14.1,0.3,1.5,345,TRUE
2023-04-15,"Yangming","Taipei City",80,"Moderate",1.4,0.26,68.3,18,7,4.2,4.8,0.6,1.1,190,TRUE
2023-04-15,"Toufen","Miaoli County",60,"Moderate",2.4,0.35,79.8,51,21,8.3,9.9,1.5,2.3,350,TRUE
2023-04-15,"Dongshan","Yilan County",17,"Good",0.5,0.17,12.7,19,2,2,2.4,0.3,0.2,271,TRUE
2023-04-15,"Taoyuan","Taoyuan City",42,"Good",1.3,0.32,46.4,18,6,10.4,11.4,0.9,1.5,59,TRUE
2023-04-15,"Taixi","Yunlin County",31,"Good",0.6,0.1,36.3,20,6,2.1,3.2,1.1,2.9,310,TRUE
2023-04-15,"Changhua (Yuanlin)","Changhua County",77,"Moderate",1.1,0.26,42.4,36,18,9,9.8,0.7,0.7,347,TRUE
2023-04-15,"Zhongli","Taoyuan City",30,"Good",1.1,0.68,11,9,4,13,19,6,0.2,169,TRUE
2023-04-15,"Taixi","Yunlin County",45,"Good",0.9,0.22,35.4,28,8,3.3,4.6,1.3,11.1,24,TRUE
2023-04-15,"Taitung","Taitung County",21,"Good",0.8,0.18,35.5,0,3,4.3,5.3,0.9,1.1,49,TRUE
2023-04-15,"Kinmen","Kinmen County",44,"Good",1.7,0.25,34.2,28,13,6.8,6.8,0,0.4,85,TRUE
2023-04-15,"Erlin","Changhua County",23,"Good",1.4,0.18,4.9,24,5,5.8,9,3.1,1.8,137,TRUE
2023-04-15,"Datong","Taipei City",69,"Moderate",0.8,0.44,4.7,52,19,27.9,31,3,NA,NA,TRUE
2023-04-15,"Magong","Penghu County",47,"Good",0.1,0.14,51.1,34,16,2.2,2.7,0.4,0.2,346,TRUE
2023-04-15,"Magong","Penghu County",89,"Moderate",1,0.3,55,62,33,3.7,4.3,0.6,3.6,21,TRUE
2023-04-15,"Puli","Nantou County",47,"Good",1.1,0.22,12.9,28,18,1.9,2.7,0.7,0.8,28,TRUE
2023-04-15,"Zhushan","Nantou County",56,"Moderate",1.3,0.33,27.9,42,23,11.9,15.8,3.8,1.1,5,TRUE
2023-04-15,"Wanhua","Taipei City",36,"Good",0.8,0.39,69.9,20,12,13.5,15.5,2,1,48,TRUE
2023-04-15,"Taoyuan (Sanmin)","Taoyuan City",73,"Moderate",1.1,0.99,23.9,NA,24,38.9,50.5,11.5,NA,NA,TRUE
2023-04-15,"Taitung","Taitung County",39,"Good",0.5,0.27,40.5,10,8,3.6,5.2,1.5,1.8,326,TRUE
2023-04-15,"Hualien","Hualien County",42,"Good",0.5,0.22,46.5,32,7,3.2,4.2,1,4.3,54,TRUE
2023-04-15,"Qiaotou","Kaohsiung City",64,"Moderate",1.2,0.29,24,45,21,10.5,11,0.4,2.3,9,TRUE
2023-04-15,"Zhongli","Taoyuan City",20,"Good",1.2,0.93,4.5,13,9,12.5,43.6,31.1,1.3,302,TRUE
2023-04-15,"Puli","Nantou County",66,"Moderate",1.1,0.27,48.9,27,20,0.7,2,1.2,1.8,286,TRUE
2023-04-15,"Banqiao","New Taipei City",66,"Moderate",1.2,0.54,30.4,38,25,18.2,19,0.7,1.5,234,TRUE
2023-04-15,"Mailiao","Yunlin County",62,"Moderate",1.1,0.22,34.2,53,23,3.5,4.5,0.9,4,1,TRUE
2023-04-15,"Pingtung","Pingtung County",19,"Good",0.5,0.22,22,6,2,8.1,10.1,2,0.4,215,TRUE
2023-04-15,"Kaohsiung (Hunei)","Kaohsiung City",59,"Moderate",2.5,0.26,48.3,38,17,6,7.2,1.2,0.7,288,TRUE
2023-04-15,"Shilin","Taipei City",55,"Moderate",1.1,0.68,23.9,42,21,37.6,45.1,7.5,1.6,282,TRUE
2023-04-15,"Taoyuan (Sanmin)","Taoyuan City",59,"Moderate",1.2,0.62,39.4,44,18,19,32.2,13.2,0.7,85,TRUE
2023-04-15,"Lunbei","Yunlin County",90,"Moderate",2.6,0.35,20.7,82,34,14,18.1,4,1.8,322,TRUE
2023-04-15,"Zhushan","Nantou County",48,"Good",1.4,0.24,40.4,49,16,12.3,13,0.7,0.9,288,TRUE
2023-04-15,"Sanchong","New Taipei City",52,"Moderate",2.2,0.56,35.5,26,14,29.4,52.5,23,NA,NA,TRUE
2023-04-15,"Zuoying","Kaohsiung City",63,"Moderate",2.2,0.35,60,41,24,8.6,10,1.3,2.3,233,TRUE
2023-04-15,"Magong","Penghu County",44,"Good",0.6,0.17,45.5,12,11,2.7,3.8,1.1,3.6,22,TRUE
2023-04-15,"Xingang","Chiayi County",19,"Good",0.9,0.14,11.8,19,7,5,6.1,1.1,1.4,146,TRUE
2023-04-15,"Pingzhen","Taoyuan City",35,"Good",0.9,0.38,12.4,14,12,21.1,23.4,2.3,0.2,181,TRUE
2023-04-15,"Yangming","Taipei City",34,"Good",1,0.19,30.9,9,0,0.6,1.4,0.7,2.4,0,TRUE
2023-04-15,"Kaohsiung (Hunei)","Kaohsiung City",93,"Moderate",1.5,0.36,31.7,73,40,8.5,9.7,1.2,0.8,24,TRUE
2023-04-15,"Guanshan","Taitung County",31,"Good",0.7,0.16,35.6,8,NA,2.2,3.6,1.4,2.8,46,TRUE
2023-04-15,"Zhudong","Hsinchu County",44,"Good",0.4,0.22,11.7,16,17,4.9,5.3,0.3,0.9,163,TRUE
2023-04-15,"Miaoli","Miaoli County",36,"Good",1.5,0.18,43.3,6,7,4.4,5.2,0.8,3.6,9,TRUE
2023-04-15,"Taitung","Taitung County",25,"Good",0.7,0.16,7.2,11,2,2.4,3,0.5,1.9,319,TRUE
2023-04-15,"Yangming","Taipei City",20,"Good",0.4,0.09,24.9,8,4,1.6,2,0.4,NA,NA,TRUE
2023-04-15,"Hualien","Hualien County",20,"Good",0.5,0.26,10.6,23,6,5.8,7.3,1.5,0.3,241,TRUE
2023-04-15,"Shanhua","Tainan City",13,"Good",0.4,0.08,10.6,6,1,2.3,3.2,0.9,1,90,TRUE
2023-04-15,"Annan","Tainan City",38,"Good",1.2,0.12,15.1,22,10,4.5,5.4,0.8,1.5,162,TRUE
2023-04-15,"Fengyuan","Taichung City",49,"Good",1.2,0.36,6.4,20,18,9.2,10.3,1.1,0.2,52,TRUE
2023-04-15,"Zhongming","Taichung City",17,"Good",0.6,0.1,12.5,7,2,2.7,3.4,0.6,1.7,171,TRUE
2023-04-15,"Chaozhou","Pingtung County",49,"Good",1,0.26,19.6,28,15,6.7,7.1,0.4,0.4,300,TRUE
2023-04-15,"Fengshan","Kaohsiung City",24,"Good",1.6,0.3,20.2,24,9,8.3,12.6,4.2,0.7,103,TRUE
2023-04-15,"Chiayi","Chiayi City",33,"Good",1.1,0.1,5.5,18,6,4.7,5.7,0.9,0.3,78,TRUE
2023-04-15,"Nantou","Nantou County",51,"Moderate",1.2,0.37,55.2,26,12,7.4,8.5,1.1,2.1,33,TRUE
2023-04-15,"Cailiao","New Taipei City",33,"Good",1,0.44,3.6,24,10,13.5,15.1,1.5,0.3,227,TRUE
2023-04-15,"Qianjin","Kaohsiung City",70,"Moderate",1.8,0.4,59.7,49,24,13.4,16.2,2.8,0.2,240,TRUE
2023-04-15,"Taixi","Yunlin County",35,"Good",0.5,0.18,31.4,35,13,6.1,7,0.8,0.7,158,TRUE
2023-04-15,"Xizhi","New Taipei City",37,"Good",0.9,0.3,40.4,16,10,10.4,12.2,1.7,2.4,30,TRUE
2023-04-15,"Songshan","Taipei City",22,"Good",0.9,0.38,10.9,17,7,13,19,5.9,0.3,301,TRUE
2023-04-15,"Zhongli","Taoyuan City",73,"Moderate",0.6,0.25,37,42,19,5.1,6.2,1.1,1.6,23,TRUE
2023-04-15,"Pingzhen","Taoyuan City",39,"Good",1,0.35,54.4,23,NA,NA,NA,NA,2.9,45,TRUE
2023-04-15,"Fengshan","Kaohsiung City",20,"Good",0.8,0.41,26.1,11,5,10.4,14.3,3.9,1.5,174,TRUE
2023-04-15,"Banqiao","New Taipei City",18,"Good",0.2,0.28,9.7,NA,5,9.7,12.2,2.5,0.7,96,TRUE
2023-04-15,"Tainan (Madou)","Tainan City",63,"Moderate",1.7,0.24,57,64,18,5.1,5.9,0.7,4.1,347,TRUE
2023-04-15,"Banqiao","New Taipei City",62,"Moderate",1.1,0.48,40.1,54,20,16.8,17.5,0.7,NA,NA,TRUE
2023-04-15,"Dongshan","Yilan County",53,"Moderate",0.3,0.26,18.6,12,8,2.9,3.4,0.5,0.2,253,TRUE
2023-04-15,"Dayuan","Taoyuan City",29,"Good",0.9,0.35,34.8,30,12,13.3,14.5,1.2,2.7,351,TRUE
2023-04-15,"Puli","Nantou County",19,"Good",1.3,0.2,16.6,15,1,5.4,5.6,0.2,1.3,153,TRUE
2023-04-15,"Pingtung","Pingtung County",21,"Good",1,0.25,26,12,7,4,6.5,2.4,1.2,358,TRUE
2023-04-15,"Yonghe","New Taipei City",70,"Moderate",1.1,0.62,27.2,16,12,21,27,6,1.6,87,TRUE
2023-04-15,"Zhudong","Hsinchu County",34,"Good",0.8,0.21,35.8,11,10,8.9,10.1,1.2,3.5,29,TRUE
2023-04-15,"Pingzhen","Taoyuan City",45,"Good",0.9,0.37,49,41,16,12,13.3,1.2,3.8,72,TRUE
2023-04-15,"Xindian","New Taipei City",19,"Good",1.5,0.13,27.4,9,0,3.7,5.3,1.6,6.2,139,TRUE
2023-04-15,"Zhudong","Hsinchu County",83,"Moderate",1.7,0.46,64.8,55,38,13.9,15,1,1,196,TRUE
2023-04-15,"Zuoying","Kaohsiung City",102,"Unhealthy for Sensitive Groups",1.4,0.52,31.2,83,51,15.5,16,0.5,1.7,341,TRUE
2023-04-15,"Chiayi","Chiayi City",73,"Moderate",1.7,0.4,20.9,60,34,13.2,14.3,1.1,1.4,74,TRUE
2023-04-15,"Nanzi","Kaohsiung City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
2023-04-15,"Hukou","Hsinchu County",38,"Good",1,0.27,29.7,26,16,4.9,5.9,1,3.4,41,TRUE
2023-04-15,"Yangming","Taipei City",30,"Good",0.6,0.13,26.5,11,6,1.9,2.3,0.4,2.9,30,TRUE
2023-04-15,"Shalu","Taichung City",46,"Good",0.9,0.25,26.5,28,10,6.5,7.6,1.1,3.2,9,TRUE
2023-04-15,"Daliao","Kaohsiung City",75,"Moderate",1.6,0.38,33.2,49,33,20.8,21.6,0.7,NA,NA,TRUE
2023-04-15,"Xinying","Tainan City",90,"Moderate",1.1,0.37,37,62,34,14.6,16,1.3,2.5,348,TRUE
2023-04-15,"Xinying","Tainan City",84,"Moderate",1.3,0.33,23.6,43,29,9.6,10.6,0.9,1.7,12,TRUE
2023-04-15,"Magong","Penghu County",48,"Good",1.4,0.28,69.6,31,14,3.2,4.4,1.2,0.5,328,TRUE
2023-04-15,"Xizhi","New Taipei City",53,"Moderate",1.1,0.26,28.2,33,13,11.1,13.3,2.2,2,32,TRUE
2023-04-15,"Xianxi","Changhua County",25,"Good",1.2,0.31,11.8,16,9,11.7,11.6,0,0.9,102,TRUE
2023-04-15,"Xinying","Tainan City",82,"Moderate",3,0.37,54.9,72,27,12,14.6,2.5,0.5,328,TRUE
2023-04-15,"Fugui Cape","New Taipei City",49,"Good",0,0.14,62,27,4,0.8,0.8,0,1.5,343,TRUE
2023-04-15,"Nanzi","Kaohsiung City",27,"Good",1.6,0.36,24.5,22,8,15.4,16.5,1.1,0.7,105,TRUE
2023-04-15,"Hualien","Hualien County",44,"Good",1,0.35,41.2,27,11,6.7,7.2,0.5,1.9,292,TRUE
2023-04-15,"Pingtung","Pingtung County",43,"Good",0.5,0.22,29.3,17,8,5.7,7.6,1.8,4,338,TRUE
2023-04-15,"Tamsui","New Taipei City",31,"Good",1.2,0.26,20.6,7,7,12.8,13.7,0.9,2.4,150,TRUE
2023-04-15,"Yonghe","New Taipei City",31,"Good",0.6,0.4,33.1,5,2,10.5,14.2,3.7,2.7,81,TRUE
2023-04-15,"Renwu","Kaohsiung City",27,"Good",0.7,0.18,24.8,9,7,6.6,7.1,0.5,1.1,74,TRUE
2023-04-15,"Dali","Taichung City",40,"Good",1.2,0.46,13.2,18,15,17.5,17.2,0,1,281,TRUE
2023-04-15,"Longtan","Taoyuan City",57,"Moderate",1.2,0.31,27,41,16,22.5,23.4,0.9,1.7,6,TRUE
2023-04-15,"Taoyuan","Taoyuan City",38,"Good",6.2,0.37,2.1,26,13,17.4,21.4,4,0.2,163,TRUE
2023-04-15,"Tamsui","New Taipei City",33,"Good",0.5,0.11,16.3,27,11,1.4,1.8,0.4,1.8,20,TRUE
2023-04-15,"Daliao","Kaohsiung City",22,"Good",0.5,0.21,9.4,16,6,7.4,8.2,0.7,0.3,335,TRUE
2023-04-15,"Yonghe","New Taipei City",26,"Good",0.4,0.21,19.5,15,7,3.4,5.5,2,3,84,TRUE
2023-04-15,"Daliao","Kaohsiung City",29,"Good",0.6,0.16,9.1,16,3,6.1,7,0.8,0.3,94,TRUE
2023-04-15,"Puli","Nantou County",48,"Good",1,0.37,17,22,20,5.8,6.4,0.6,0.4,317,TRUE
2023-04-15,"Sanyi","Miaoli County",45,"Good",0.7,0.16,32.9,15,16,3.8,4,0.2,0.3,217,TRUE
2023-04-15,"Renwu","Kaohsiung City",44,"Good",0.2,0.25,23.7,20,11,6.7,7.8,1,0.3,88,TRUE
2023-04-15,"Hsinchu","Hsinchu City",82,"Moderate",2.4,0.44,52.3,55,32,16.3,19.8,3.5,1.3,34,TRUE
2023-04-15,"Wanhua","Taipei City",41,"Good",0.9,0.34,40.8,9,9,13.1,13.8,0.7,1.7,94,TRUE
2023-04-15,"Zhongshan","Taipei City",45,"Good",0.6,0.39,30,18,12,11.1,11.8,0.6,0.4,156,TRUE
2023-04-15,"Linyuan","Kaohsiung City",81,"Moderate",2.9,0.53,19.3,84,26,27.8,28.6,0.7,1.7,16,TRUE
2023-04-15,"Changhua (Yuanlin)","Changhua County",27,"Good",1.7,0.27,23.7,19,10,7.2,10.9,3.6,1,0,TRUE
2023-04-15,"Hengchun","Pingtung County",42,"Good",0.9,0.13,47.1,14,5,0.4,0.7,0.2,7.9,30,TRUE
2023-04-15,"Datong","Taipei City",34,"Good",1,1.06,2.4,15,9,15.5,64.1,48.6,NA,NA,TRUE
2023-04-15,"Xitun","Taichung City",33,"Good",0.7,0.13,19,16,12,3.8,5.2,1.3,2.5,175,TRUE
2023-04-15,"Douliu","Yunlin County",57,"Moderate",2.1,0.24,26.6,58,18,8.9,11,2,0.9,326,TRUE
2023-04-15,"Dayuan","Taoyuan City",32,"Good",2.2,0.29,26.8,15,10,16.3,17.3,0.9,1.3,161,TRUE
2023-04-15,"Linyuan","Kaohsiung City",80,"Moderate",2.6,0.29,62,52,41,8.1,9.6,1.4,2.8,259,TRUE
2023-04-15,"Douliu","Yunlin County",28,"Good",1.1,0.14,28.8,19,6,2.9,5.3,2.4,2.2,284,TRUE
2023-04-15,"Renwu","Kaohsiung City",92,"Moderate",2.5,0.37,83.3,57,32,8.6,9.9,1.3,3,276,TRUE
2023-04-15,"Annan","Tainan City",30,"Good",2.2,0.35,40.4,34,12,8.7,10.5,1.7,0.3,338,TRUE
2023-04-15,"Qianjin","Kaohsiung City",36,"Good",2.9,0.38,17,23,12,13.9,14.8,0.8,0.9,331,TRUE
2023-04-15,"Changhua (Yuanlin)","Changhua County",56,"Moderate",2,0.38,46.2,38,17,7.1,8.9,1.7,2.2,342,TRUE
2023-04-15,"Sanyi","Miaoli County",25,"Good",0.9,0.27,12.7,5,8,13.8,15,1.2,NA,NA,TRUE
2023-04-15,"Xiaogang","Kaohsiung City",71,"Moderate",2.6,0.32,61,54,20,14.7,15.2,0.5,2.1,258,TRUE
2023-04-15,"Erlin","Changhua County",43,"Good",1.6,0.26,44.2,52,17,3.6,5,1.4,4.9,32,TRUE
2023-04-15,"Nantou","Nantou County",63,"Moderate",1.4,0.49,13.7,38,21,21.2,21.7,0.5,NA,NA,TRUE
2023-04-15,"Pingtung (Liuqiu)","Pingtung County",18,"Good",1.3,0.12,21.9,20,6,1.7,2.6,0.8,0.3,119,TRUE
2023-04-15,"Datong","Taipei City",60,"Moderate",1.3,0.53,27.9,29,13,10.1,15.7,5.6,NA,NA,TRUE
2023-04-15,"Zuoying","Kaohsiung City",75,"Moderate",1.4,0.4,47.9,47,17,18.5,23.1,4.5,2.5,18,TRUE
2023-04-15,"Datong","Taipei City",54,"Moderate",0.9,1.19,12.1,42,18,35,63.3,28.3,NA,NA,TRUE
2023-04-15,"Miaoli","Miaoli County",56,"Moderate",2.4,0.28,79.7,29,17,9,11,2,2.9,358,TRUE
2023-04-15,"Tainan (Madou)","Tainan City",23,"Good",0.8,0.08,25.5,14,2,2.1,2.7,0.6,3.9,174,TRUE
2023-04-15,"Xianxi","Changhua County",52,"Moderate",1.5,0.31,12.7,30,18,14.5,19.2,4.7,2.5,155,TRUE
2023-04-15,"Chiayi","Chiayi City",50,"Good",1.7,0.26,28.9,17,11,6.3,8.1,1.8,1.9,304,TRUE
2023-04-15,"Kaohsiung (Hunei)","Kaohsiung City",26,"Good",0,0.21,11,18,5,4.9,6.5,1.6,0.3,290,TRUE
2023-04-15,"Xinying","Tainan City",128,"Unhealthy for Sensitive Groups",2.5,0.58,19.4,85,54,14.7,15.9,1.1,1,18,TRUE
2023-04-15,"Xinying","Tainan City",91,"Moderate",1,0.28,76.7,73,44,4.4,4.9,0.5,2.7,7,TRUE
2023-04-15,"Zhongming","Taichung City",65,"Moderate",1.4,0.33,50,42,19,13.3,15.3,2,2.4,331,TRUE
2023-04-15,"Fengyuan","Taichung City",54,"Moderate",1.5,0.3,17.2,31,17,7.3,8,0.7,1.3,112,TRUE
2023-04-15,"Yonghe","New Taipei City",37,"Good",0.3,0.27,9.9,11,11,6,9.4,3.3,1.2,89,TRUE
2023-04-15,"Xinzhuang","New Taipei City",48,"Good",0.6,0.45,41.1,30,12,17.1,18,0.9,2.7,53,TRUE
2023-04-15,"Zhushan","Nantou County",54,"Moderate",0.3,0.28,11.4,33,20,5.3,8.1,2.7,0.5,0,TRUE
