"date","sitename","county","aqi","status","so2","co","o3","pm10","pm2.5","no2","nox","no","windspeed","winddirec","after_reform"
2023-04-15,"Guting","Taipei City",33,"Good",0.8,0.25,38.9,16,11,10.4,11,0.5,1.5,70,TRUE
2023-04-15,"Shilin","Taipei City",28,"Good",0.6,0.29,17,5,8,15.1,16.1,1,0.5,286,TRUE
2023-04-15,"Fengshan","Kaohsiung City",112,"Unhealthy for Sensitive Groups",1.8,1.08,37.5,115,62,25.6,26.9,1.2,0.9,276,TRUE
2023-04-15,"Wanhua","Taipei City",35,"Good",0.6,0.28,29.8,20,11,13.9,15.7,1.8,2.5,96,TRUE
2023-04-15,"Tucheng","New Taipei City",87,"Moderate",2.3,0.62,53.4,68,32,24.4,30.6,6.1,1.4,289,TRUE
2023-04-15,"Annan","Tainan City",45,"Good",1.8,0.22,58.5,79,12,5.9,6.7,0.8,4.9,316,TRUE
2023-04-15,"Miaoli","Miaoli County",46,"Good",1.6,0.24,7.7,29,13,10.7,11.8,1.1,0.3,97,TRUE
2023-04-15,"Tucheng","New Taipei City",39,"Good",0.5,0.31,3.6,19,12,10.3,12.5,2.2,1.2,142,TRUE
2023-04-15,"Chaozhou","Pingtung County",39,"Good",0.6,0.23,6.1,28,14,12.2,13.1,0.8,1.7,91,TRUE
2023-04-15,"Fugui Cape","New Taipei City",77,"Moderate",0.2,0.15,63.2,38,10,1.2,1.2,0,7.9,44,TRUE
2023-04-15,"Xindian","New Taipei City",33,"Good",0.8,0.23,34.5,18,10,4.8,6.1,1.3,2.1,99,TRUE
2023-04-15,"Xinzhuang","New Taipei City",15,"Good",0.4,0.11,17.2,6,2,3.3,4.9,1.6,4.3,62,TRUE
2023-04-15,"Pingzhen","Taoyuan City",32,"Good",0.6,0.33,28.7,6,2,NA,NA,NA,3.6,37,TRUE
2023-04-15,"Lunbei","Yunlin County",23,"Good",0.2,0.18,37.2,11,7,2.4,3.4,1,1.2,262,TRUE
2023-04-15,"Cailiao","New Taipei City",47,"Good",1.1,0.3,50,25,8,6.9,7.7,0.7,2.4,108,TRUE
2023-04-15,"Yilan","Yilan County",45,"Good",1.5,0.23,22.8,32,15,6.9,7.2,0.2,1.4,329,TRUE
