"date","sitename","county","aqi","status","so2","co","o3","pm10","pm2.5","no2","nox","no","windspeed","winddirec","after_reform"
2024-04-15,"Kinmen","Kinmen County",74,"Moderate",1.7,0.19,64.3,20,18,7.9,8.8,0.9,2.3,131,TRUE
2024-04-15,"Yonghe","New Taipei City",53,"Moderate",1.7,0.6,21.5,23,15,19.9,26.1,6.1,0.3,140,TRUE
2024-04-15,"Qianjin","Kaohsiung City",23,"Good",1.9,0.16,17.8,22,7,5,4.9,0,0.5,66,TRUE
2024-04-15,"Songshan","Taipei City",31,"Good",1.7,0.22,32.7,15,11,7.9,8.8,0.8,2,301,TRUE
2024-04-15,"Guting","Taipei City",29,"Good",1.1,0.27,9,20,9,10.6,12.5,1.9,1.6,252,TRUE
2024-04-15,"Zuoying","Kaohsiung City",46,"Good",1.2,0.43,8.1,28,19,19.1,24,4.9,0.8,33,TRUE
2024-04-15,"Qiaotou","Kaohsiung City",111,"Unhealthy for Sensitive Groups",1.4,0.43,65.9,52,34,12.3,13.7,1.3,3.6,270,TRUE
2024-04-15,"Shanhua","Tainan City",32,"Good",0.6,0.15,43.9,11,11,3.1,4.1,1,3.1,167,TRUE
2024-04-15,"Puli","Nantou County",75,"Moderate",0.9,0.42,5.5,31,25,6.4,8.6,2.2,0.4,292,TRUE
2024-04-15,"Zhudong","Hsinchu County",46,"Good",0.5,0.13,46.5,11,11,2.8,3.1,0.2,0.8,155,TRUE
2024-04-15,"Dongshan","Yilan County",20,"Good",0.4,0.24,2.2,13,5,7.8,8.1,0.3,0.5,258,TRUE
2024-04-15,"Xitun","Taichung City",36,"Good",1.4,0.29,29.6,26,15,13.8,17.1,3.2,2.5,312,TRUE
2024-04-15,"Datong","Taipei City",48,"Good",1.5,1.06,25.2,33,18,29.4,48.5,19.1,NA,NA,TRUE
2024-04-15,"Nanzi","Kaohsiung City",92,"Moderate",1.2,0.38,17.2,45,28,12.6,13.8,1.1,1.3,37,TRUE
2024-04-15,"Fuxing","Kaohsiung City",80,"Moderate",1.9,0.62,24.5,67,29,24.7,26.8,2.1,0.8,121,TRUE
2024-04-15,"Chaozhou","Pingtung County",46,"Good",2.6,0.16,37.1,35,11,7.2,7.1,0,3,37,TRUE
2024-04-15,"Taitung","Taitung County",15,"Good",0.9,0.11,15,19,0,2.3,5.3,3,3.5,43,TRUE
2024-04-15,"Nantou","Nantou County",58,"Moderate",1.5,0.28,86.3,63,16,9.1,10,0.8,1.7,348,TRUE
2024-04-15,"Yangming","Taipei City",38,"Good",1.1,0.16,36,10,10,1.2,1.4,0.1,0.4,220,TRUE
2024-04-15,"Yonghe","New Taipei City",58,"Moderate",0.8,0.42,45.9,14,12,11.7,13.8,2.1,1.4,92,TRUE
2024-04-15,"Taixi","Yunlin County",93,"Moderate",3.6,0.25,65,67,NA,9,10.3,1.3,4.4,13,TRUE
2024-04-15,"Pingzhen","Taoyuan City",14,"Good",0.1,0.16,8.7,18,3,6.8,8.9,2.1,0.7,188,TRUE
2024-04-15,"Xianxi","Changhua County",19,"Good",0.6,0.11,22.2,12,3,3.4,4.8,1.4,4.6,202,TRUE
2024-04-15,"Xinying","Tainan City",47,"Good",1.7,0.23,NA,22,13,5.1,6.2,1.1,1.6,358,TRUE
2024-04-15,"Keelung","Keelung City",38,"Good",0.6,0.27,11.6,21,12,7.5,8.1,0.5,0.6,311,TRUE
2024-04-15,"Zhongming","Taichung City",16,"Good",0.8,0.21,8.6,16,4,6.7,8,1.2,1.9,195,TRUE
2024-04-15,"Zuoying","Kaohsiung City",70,"Moderate",1.6,0.56,8.4,37,25,15.6,18.5,2.8,2.5,359,TRUE
2024-04-15,"Puzi","Chiayi County",24,"Good",0.9,0.11,NA,20,8,5.7,6.5,0.8,0.9,139,TRUE
2024-04-15,"Fengyuan","Taichung City",31,"Good",0.7,0.3,9.7,19,7,10.4,11.5,1.1,1.7,117,TRUE
2024-04-15,"Qianjin","Kaohsiung City",38,"Good",1.1,0.26,17.3,26,18,10,10.6,0.6,1.5,354,TRUE
2024-04-15,"Pingzhen","Taoyuan City",64,"Moderate",0.6,0.22,39.2,41,15,6,8.3,2.2,2.2,252,TRUE
2024-04-15,"Xindian","New Taipei City",36,"Good",0.5,0.16,10.5,29,11,3.2,4,0.8,1.7,180,TRUE
