"year","county","lower","mean","upper"
2016,"Changhua County",NA,67,NA
2016,"Chiayi City",39.4407786907072,86.3333333333333,133.225887975959
2016,"Chiayi County",NA,126,NA
2016,"Hsinchu City",-152.152378146882,57.5,267.152378146882
2016,"Hsinchu County",-23.3841260489608,46.5,116.384126048961
2016,"Hualien County",9.98231513500358,38.6666666666667,67.3510181983298
2016,"Kaohsiung City",77.3506818863975,94.9090909090909,112.467499931784
2016,"Miaoli County",43.6361771504335,56.5714285714286,69.5066799924237
2016,"Nantou County",73.2597760050876,115.833333333333,158.406890661579
2016,"New Taipei City",36.8322396574507,46.1578947368421,55.4835498162335
2016,"Penghu County",NA,69,NA
2016,"Pingtung County",-208.564787619232,26.5,261.564787619232
2016,"Taichung City",63.5403078063242,86.3846153846154,109.228922962907
2016,"Tainan City",41.1213158078681,73.4285714285714,105.735827049275
2016,"Taipei City",30.8717804651038,48,65.1282195348962
2016,"Taitung County",20.1748313109675,31.75,43.3251686890325
2016,"Taoyuan City",39.1307151328623,49.6428571428571,60.1549991528519
2016,"Yilan County",-12.9539531088526,57,126.953953108853
2016,"Yunlin County",48.2927675213883,73.6666666666667,99.040565811945
2017,"Changhua County",59.8384891716234,68.4615384615385,77.0845877514535
2017,"Chiayi City",53.2983509176237,72.7,92.1016490823763
2017,"Chiayi County",60.8502403432932,73.5357142857143,86.2211882281354
2017,"Hsinchu City",28.3728805077485,46.0714285714286,63.7699766351086
2017,"Hsinchu County",45.6361583815148,54.5384615384615,63.4407646954083
2017,"Hualien County",31.4664035574473,39.9,48.3335964425526
2017,"Kaohsiung City",75.5675111553817,81.1208791208791,86.6742470863765
2017,"Keelung City",38.8025597681724,51.8571428571429,64.9117259461133
2017,"Kinmen County",61.55553014951,77.8571428571429,94.1587555647757
2017,"Lienchiang County",56.7593218932995,80.5,104.240678106701
2017,"Miaoli County",52.2590395076843,59.8888888888889,67.5187382700934
2017,"Nantou County",63.9956909326854,73.5217391304348,83.0477873281842
2017,"New Taipei City",50.671454545772,54.7417218543046,58.8119891628373
2017,"Penghu County",41.5181601623304,50,58.4818398376696
2017,"Pingtung County",46.9440472272172,59.7878787878788,72.6317103485404
2017,"Taichung City",52.4612643096351,59.1060606060606,65.7508569024861
2017,"Tainan City",72.2265251348524,80.7692307692308,89.3119364036092
2017,"Taipei City",45.0677847392225,50.2872340425532,55.5066833458839
2017,"Taitung County",29.0678882433558,35.2692307692308,41.4705732951058
2017,"Taoyuan City",50.2122169995962,55.3571428571429,60.5020687146895
2017,"Yilan County",36.5239118562791,41.5277777777778,46.5316436992765
2017,"Yunlin County",71.3549168688539,79.7936507936508,88.2323847184477
2023,"Changhua County",46.3425834707574,52.280701754386,58.2188200380146
2023,"Chiayi City",33.7599072058541,77.2857142857143,120.811521365574
2023,"Chiayi County",49.2350935956822,58.8974358974359,68.5597781991896
2023,"Hsinchu City",42.9930021392928,59.4117647058824,75.8305272724719
2023,"Hsinchu County",35.5127978914684,43.5925925925926,51.6723872937168
2023,"Hualien County",25.7741805313919,30.1304347826087,34.4866890338255
2023,"Kaohsiung City",57.9454692464335,62.4114285714286,66.8773878964236
2023,"Keelung City",26.1232367292949,46.9090909090909,67.694945088887
2023,"Kinmen County",51.1316595919455,65.3125,79.4933404080545
