"pollutant","mean_before","mean_after","delta","p_value","p_value_BH","reject_BH"
"so2",3.01784379578461,1.10726452727897,-1.91057926850564,0,0,TRUE
"co",0.453624744020832,0.264084411643107,-0.189540332377726,0,0,TRUE
"o3",33.2596783040237,28.6356529689494,-4.62402533507433,0,0,TRUE
"pm10",52.6278505840465,25.3931652532796,-27.2346853307669,0,0,TRUE
"pm2.5",25.5781653478715,12.4904965864091,-13.0876687614624,0,0,TRUE
"no2",15.6937854971885,8.51227522562258,-7.18151027156593,0,0,TRUE
"nox",20.2965526670627,11.0937675357205,-9.20278513134219,0,0,TRUE
"no",4.6070675576286,2.54124548976106,-2.06582206786754,0,0,TRUE
